Company,Year,Quarter,Summary
Conagra Brands,2024,Q3,"in the most recent 4 weeks of scanner data, Birds Eye grew overall share . inflation was a big driver of the price mix in Grocery & Snacks for the quarter . based on scanner data, most expected some upside in Grocery & Snacks and maybe a bit more weakness in Refrigerated & Frozen . the entire size of private label in frozen single-serve meals is 1.8 points . we've also seen inflation more broadly in vegetables, in different ingredients . within frozen vegetables, there's commodity vegetable tier, premium steamer and value-added tier . importantly, outstanding progress on delivering cost savings helped fuel these investments . our efforts to prioritize debt reduction continue to yield strong results . investments are up in the quarter as planned, but total merchandise consumption is in line with pre-COVID levels ."
Flowers Foods,2017,Q1,"the vast majority of the cost for Project Centennial will be in '17 and 2017 the first half . the company is so focused on this project that this is still a tough category to operate on a day-to-day basis . sales of soft variety and nonorganic wide pan breads were down 20 basis points . Tastykake remains a high-potential brand . by divesting this business, we unlocked substantial value and improved our financial position . we're looking at the entire fresh packaged bread category to decline 1.1% . some of the sales of product baked in Warehouse is captured in DSD . the company is so focused on Project Centennial that this is still a tough category to operate on a day-to-day basis . project centennial consulting charges weren't excluded last year ."
Flowers Foods,2017,Q2,"the investments we've made to add organic bread production capacity have yielded very strong returns . the fresh package breads category was down 70 basis points in dollars and 1.5% in units . we traditionally hedge our flour costs using wheat futures . ""we're excited that a real byproduct of Project Centennial"" is brand support ."
Flowers Foods,2017,Q3,"Tastykake, Nature's Own and Dave's Killer Bread are our priority brands . flowers completed the voluntary separation program and the costs associated with this are included in this quarter . at the quarter end, we had approximately $670 million of available liquidity . net-net has seen a slight sales decline following a sales drop . we are on track with our cost-saving initiatives . flowers completed the voluntary separation program and the costs associated with this are included in this quarter ."
Flowers Foods,2018,Q1,"for the seventh straight quarter, our market share increased 0.6 share points to 15.8 . new cross-functional structure allows brand marketing efforts to be much more strategic . bakeries are now headed up by leaders whose sole responsibility is plant operations and product quality . adjusted for the mix manufacturing business we divested early last year . the primary thing being co-packed today with DKB is in the breakfast category . there is a slight portion of the volume that is being . cost per pound is up, so we have to rightsize labor to drive that cost percentage down . the company is taking action to address input cost, labor market and outsourced production . there are markets where our prices is -- continues to be the leading price . if you expect to see any benefit from the network optimization piece in 2018 . it will ramp as the year progresses, yes."
Flowers Foods,2018,Q2,"flowers was impacted by inflationary pressures from higher transportation cost, a tight labor market and increasingly volatile commodity markets . the commercial cake category was down slightly, but our snack cake share has remained stable . he is uniquely qualified to lead operations as we execute on our growth objectives and cost-savings initiatives . this decrease was driven by a significant number of discrete cash uses . the 2 biggest items impacting gross margin were the elevated promotional activity . it doesn't seem like the competitive landscape has changed in terms of promotional levels ."
Flowers Foods,2018,Q3,"it was a challenging third quarter, primarily due to inflationary pressures and lower-than-expected sales . our updated investor presentation is posted in the Investors section of the company's website . we're adjusting pricing and have an on a market-by-market basis . the focus on overall cost reduction is across the entire organization ."
Flowers Foods,2018,Q4,"there's a slight wage inflation, but we did make the org changes . ""we have all the initiatives around Project Centennial to continue to drive cost out of the business"" we're also looking at adjacent categories . unless we're looking at something different, i'm not seeing it as much with your competitive set . we anticipate investing marketing dollars into brands to give consumers a meaningful point of difference to justify the pricing as necessary . the penny profit associated with Dave's Killer Bread is exciting to me, because it's an indicator where this whole category can go ."
Flowers Foods,2019,Q1,"as chief operating officer, he has done an outstanding job aligning the team behind our strategic goals . he will now turn the call over to Ryals so he can share his thoughts and his observations . overall, our volumes held up, and we'll continue to watch that as the year progresses . scanner sales still appear to be a little under pressure ."
Flowers Foods,2019,Q2,"canyon bakehouse is accretive to EBITDA and neutral to EPS . despite the good top line performance, inflationary pressures continue . foodservice remains a vitally important part of our business despite focus on brands . refocus on profitability is well underway in our cake business . there's some chatter that the protein quality of the red winter may not be quite as good ."
Flowers Foods,2019,Q3,"in the third quarter, we continued to experience solid performance on the top line . canyon bakehouse is performing at the upper end of our plan, and we now see it being slightly accretive to full year EPS ."
Flowers Foods,2019,Q4,"the company's updated investor presentation is posted on its website . the large size of the bakery category, over $30 billion, will provide ample opportunities for substantial growth . higher production costs and higher adjusted SD&A result in lower adjusted EBITDA margin . we expect robust free cash flow generation in 2019 . transportation was the biggest external factor in 2018 . ladies and gentlemen, our conference call concludes . our call will be held on tuesday, october 21 ."
Flowers Foods,2020,Q1,"the vast majority of our business is fresh DSD . A. Ryals McMullian president, CEO & director Sure . the company has instituted a number of safeguards for the health and safety of the team . store branded retail sales decreased approximately $1 million or 50 basis points . foodservice and other nonretail sales decreased by $47.3 million or 15% . in the first quarter of fiscal 2020, cash flow from operating activities increased $10 million . with weekly data on sales trends, we can shift our production mix quickly . as the lockdowns began, the effect was pretty immediate on the foodservice business . more recently, the sit-down restaurants, the fast-casual type things have experienced a precipitous drop-off . reality is our business is so near-term on a weekly basis . we believe we have a good handle on that and barring anything catastrophic . he hopes to see over time that shift in mix become a permanent fixture ."
Flowers Foods,2020,Q2,"food at home consumption continues to remain elevated to the prior year . a structured M&A approach is critical to ensuring Flowers' long-term success . a. Ryals McMullian president, CEO & director Yes, sure . we had a great grilling season . Nature's Own, Dave's Killer Bread and Canyon Bakehouse have the highest loyalty . the company has donated $1.5 million this year to 3 organizations dedicated to racial equality . over the last 10 years, we've grown this company from $2.5 billion to a $4 billion-plus company . canyon bakehouse has become the #1 gluten-free brand in the short 2-year period that we've owned them . if we can continue to shift our share in underdeveloped markets, that in turn will drive significant margin improvement . canyon bakehouse has quickly become the #1 gluten-free bread by giving consumers a reason to love bread again . e-commerce digitization has certainly spawned a new activity set for us as well . ""nature's own"" is a tagline for moms that want to balance both happy and healthy . we've developed growth maps for our brand portfolio to drive optimal revenue and margin growth . in the markets we serve, we are clear leader in loaf bread, with over a 30 share . despite calls for gluten-free category's demise, it continues to grow . if we can't get lower-margin business to acceptable margin threshold, we'll pull back . ""i wish i was smarter than everybody else, but I'm not,"" he says . incremental profit opportunity is quite large . if we can get the Navy Yard bakery back to operational excellence, the incremental profit chance is quite big ."
Flowers Foods,2020,Q3,"we're also allocating capital to improve returns at our underperforming Navy Yard bakery . the same plant that makes brand oftentimes makes private label, too . but the promotional environment is certainly well beneath historical levels . despite our excellent results, we still have a lot of opportunity in our plants . it will be largely first half weighted, until we lap it in the second half . Tasty Baking continues to introduce new products in the midst of all this . no meaningful geographic expansion during this period, but we weren't trying . this quarter, we have made a change to our usual earnings format . instead of a live earnings call and webcast, we are posting recorded remarks . the company is committed to doing everything in our power to provide a healthy and safe work environment . but strong brands and operational execution continue to drive attractive share gains . we continue to see pretty good trends from a branded retail standpoint ."
Flowers Foods,2020,Q4,"in the fourth quarter, our top line momentum continued as consumers shifted to differentiated on-trend brands like Dave's Killer Bread and Canyon Bakehouse . in January, we announced the conversion of our Lynchburg bakery to organic production . in the fourth quarter, we report adjusted EBITDA margin expansion for the first time in 8 quarters . there was some softness in the traditional loaf segment in the fourth quarter . the frozen piece actually outperformed our expectations . we're looking to expand our total footprint as far as shelf space . Ryals McMullian president, CEO & director I think one of the really interesting opportunities for the business is some of the white space opportunities ."
Flowers Foods,2021,Q1,"Ryals McMullian, president and CEO, and Steve Kinsey, our CFO join us . but we still have a lot of runway with regard to the corn crop, the bean crop, and we'll cycle a wheat crop . but given your intentional emphasis on your branded products, you're seeing softer growth . consumer preference for brands is consistent with industry-wide trends . pandemic continues to influence our results, but we see some indications of mix reversion ."
Flowers Foods,2021,Q2,"some isolated customers where that's been reduced . branded versus nonbranded mix still going to be most important part of the change . consumer edge research is not prepared to give guidance for 2022 . there's been a systemic change of how work is viewed in this country . we're looking at different uniforms, different cooling systems, et cetera . lower sales and increased returns of unsold products impacted margins . a higher return on unsold items was also impacted by lower sales ."
Flowers Foods,2021,Q3,"year-to-date, cash flow from operating activities decreased by $49.2 million to $315.2 million . branded retail units have held up very, very well despite price increases . bringing on Lynchburg last year has been a huge thing for us . we're increasing demand for our leading products by investing in marketing and advertising ."
Flowers Foods,2021,Q4,"a. Ryals McMullian president, CEO & director Yes, the fast food side of the business has performed pretty well . wonder bread is growing almost as fast as Dave's Killer Bread for the year . the company will post an audio replay of this call after today's Q&A session . we've hired a new supply chain officer and a procurement officer . private label is one of the most powerful things that's happened to the company over the last several years . lower volumes due to the impact of the COVID-19 pandemic drove most of the decline . gross margin as a percentage of sales increased 200 basis points as mix shifted to higher-margin branded products ."
Flowers Foods,2022,Q1,"the vast majority of that increase on the price/mix line actually came from pricing . a. Ryals McMullian president, CEO & director Yes, we're already experiencing the higher cost . we built leading shares in the low organic and gluten-free categories . so far this year, we've seen a pretty healthy consumer so far . we typically don't split price mix in our reporting . flowers implemented a price increase in January, which was intended to address inflation . Nature's Own, Dave's Killer Bread and Canyon Bakehouse gained market share this quarter . the last period of significant inflation coincided with the financial crisis . we are also investing in digital robotics and automation . the last significant inflation period occurred in the u.s. in 2008 ."
Flowers Foods,2022,Q2,"a. Ryals McMullian president, CEO & director It will probably take a little bit longer . b. Phoenix is an older, less-efficient bakery . pause in decline in private label market share may indicate inflationary pressures are encouraging consumers to trade down . flowers raised the bottom end of our 2022 EPS guidance by $0.05 to $1.25 . quick-serve did pretty well during the pandemic just because of less contact . breakfast products performed particularly well in the quarter . the company's product mix regressed slightly as share losses in private label category paused . inflationary pressures have continued to strain consumer confidence . the entire Flowers team is working hard to enhance shareholder value . flowers is a member of the board of directors of the ftsb ."
Flowers Foods,2022,Q3,"year-to-date, we repurchased $34.6 million of common stock . despite disappointing results, we remain committed to our disciplined approach . inflationary pressures in the state of the u.s. consumer remain high . after today's Q&A session, we will also post an audio replay of this call . despite widespread inflationary pressures, the strength of our product portfolio continues to underscore consumers' preference for differentiated products . accelerated growth and learn-improved portfolio roles are driving continued growth . recent launches are delivering promising results . despite disappointing results, we remain committed to our disciplined approach . private label strength has been driven by concentrated activity in the mass merchandise channel ."
Flowers Foods,2022,Q4,"flowers pivoted to become a more brand-focused company prior to the pandemic . a. Ryals McMullian president, CEO & director We're really not going to see much improvement there . for fiscal 2021, cash flow from operating activities decreased by $109.9 million to $344.6 million . we're expecting mid- to below-single-digit labor inflation throughout the year . et cetera continues to hold up really, really well given the continued at- home eating trends . it will be rolled out to half the bakeries this year on the back of the 3 or 4 pilots . flowers awarded $5.2 million of appreciation bonuses to frontline workers in the fourth quarter . he'll still generate plenty ample free cash flow next year based on his estimates . we've been saying for some time now, our appetite rather for M&A is certainly high . e-commerce domain will improve digital content and develop new partnerships . underpinning these digital initiatives is the upgrade of our ERP system . capital expenditures increased $38 million to $136 million largely due to digital investments and production capacity additions . the company exceeded its initial 2021 guidance . sales, EBITDA and EPS growth remained ahead of targets . the company is expected to surpass its 2022 guidance by 2022 ."
Flowers Foods,2023,Q1,"the company's first quarter results demonstrate the strength of its leading brands . we did face difficult year-over-year comparisons in the quarter due to a strong impact from the Omicron surge early last year . ""it is still a tale of 2 channels in the sense that we're not seeing the same dynamics in grocery"" the gap between brand and private label did narrow last year . can has proven to be one of the most inelastic brands that we have . ""we're a little bit strained with Canyon, but restrained because it's grown so much,"" he adds . a transcript of the live call is posted on the Investors section of flowersfoods.com . a. Ryals McMullian, president and CEO; and Steve Kinsey, our CFO provide remarks . lower incentive compensation and lower distributor distribution fees . results adjusting 2023 guidance to reflect slower-than-expected start to year . we expect to supplement that existing business by moving into faster growing adjacent categories ."
Flowers Foods,2023,Q2,cash flow from operating activities decreased by $54.9 million to $128.9 million . inflation remains persistent and we expect continued inflationary pressures into 2024 . canyon's performance recovered after a slow start to the year . the amped-up protein bars have been in test market for a while . reorganization is one of the reasons we performed so well . results benefited from our commitment to innovation as we initiated national launches . Canyon bakehouse lost 230 basis points of gluten-free unit share in second quarter . canyon's fourth priority is smart M&A .
Flowers Foods,2023,Q3,"year-to-date, cash flow from operating activities decreased by $34.2 million to $257.3 million . we generated record quarterly revenues and maintained our unit share despite inflationary pressures . now we have Papa Pita online out west and are picking up some distribution that we had lost due to quality issues . capital expenditures decreased $31.4 million to $97 million and included $2 today is veterans day, so thank you for your service . germany will convert to a company-owned model in phases . it's a little bit more expensive to run the company- owned model than an independent distributor model . the amount embedded in adjusted EBITDA went from $26 million to $17 million quarter-over-quarter . he will be working closely with me on finding new revenue streams . Wonder gained while Nature's Own lost in the second quarter . Nature's Own lost only 10 basis point of unit share in the quarter . colgate-Palmolive adds 2 new board members to its board . nature's own keto bread was a particular standout . unit share growth picked up toward the end of the third quarter . private label unit share grew by a quarter-on-quarter basis ."
Flowers Foods,2023,Q4,"Papa Pita's top line sales impact isn't that huge, but it's included in the sales guidance . results benefited from lower incentive compensation expense, lower distribution fees . divergence between mass and grocery does continue . any other color would be great . based on preliminary guidance, you expect debt to rise . the rollout to retailers began in January and will continue throughout the year . flowers was recently added to the S&P high yield dividend Aristocrats Index ."
Flowers Foods,2024,Q4,the soft variety and white bread area is the most susceptible to private label trade down . even DKB's profitability was down last year pretty significantly because we had substantially higher organic wheat cost . the team is excited consumers and retailers alike are excited about it . the caution is more around other competitors in the space that it is pressure from retailers . private label products remained strongest in the loaf categories with the least differentiation . the caution is more around other competitors in the space that it is pressure from retailers .
Givaudan SA,2017,Unknown,"the 2016 full year results conference call and live webcast is being recorded . this is the first time i've made this call together with our new CFO, Tom Hallam . in 2015, we recorded a net one-off noncash gain of CHF 20 million . the company showed a solid financial performance in line with our 2020 guidance . our 2020 roadmap is centered around responsible growth and shared success . a step-up in inventories as part of the purchase price allocation impacted the margin . in Asia, we've seen a very strong growth, especially in China, in the rest of Asia at the beginning of 2016 . the acquisitions of Spicetec and Cosmetic Ingredients will have an impact . spicetec acquired ConAgra to go after other food and beverage classes in the u.s. Spicetec signed development partnership with Amyris to develop new Active . [Operator Instructions] The conference must not be recorded for publication or broadcast . Activ is in the space of savory and seafood type of natural flavors . the Fragrance division reported a sales increase of 0.4% in Swiss francs in the first 6 months of 2017 . we are confident to achieve also solid results in 2017, since we are best positioned in the defensive industry . strategic inventory buildup should continue and the pressure from clients to prolong the payment terms . we don't have any formal commitment on the leverage ratio any longer . part of it is cannibalization [indiscernible] replacements of the 1/3 by the 2/3 ."
Givaudan SA,2018,Unknown,"the growth in North America has also been very good against a very high comparable of last year . sales in north America grew by 1.3% against the strong comparable of 8.9% in 2017 . on the Fragrance side, I can't think of any sort of concern also in North . [Operator Instructions] The conference must not be recorded for publication or broadcast . in 2017, we achieved sales of more than CHF 5 billion, a growth of 4.9% on the like-for-like basis and 8.3% in Swiss francs . acquisitions contributed CHF 177 million . the company has a well-balanced debt profile with interest rates, which we have locked in at attractive rates . we have maintained a very good and continuous supply of our fragrances . fine fragrances has been growing very strongly for the last 2 years . acquisitions contributed CHF 177 million . severance is the main impact of the cost movement into 2017 . the integration of Soliance, Induchem into our Active Beauty business is fully completed . for the full year of '17, we've seen a very good growth on Active Beauty . group sales increased by 5.6% on a like-for-like basis, which excludes any currency impact, as well as the recent acquisitions . the division recorded CHF 250 million of EBITDA, a decline from 2017 . a strong focus on internal costs and continued productivity gains meant an increase of 9.3% . fine Fragrances continues to strongly outperform the market and competition . the company is confident about its strength and our DNA built over the last 250 years . it's a 50-50 split if you look at the total sales of one set . fine fragrances has been growing very strongly for the last 2 years . group sales increased by 5.6% on a like-for-like basis, which excludes any currency impact ."
Givaudan SA,2019,Unknown,"the transitions in EAME and North America are now fully completed . the North American market has slowed down quite substantially for Flavours . we aim at further value-creative acquisitions to complement our core capabilities . naturex has 4 different spaces in which it is active, offering a wide range of natural ingredients . the lion's share in Fragrances, we have passed some price increases in second half of last year . we have not seen an impact of pricing policy or the price increase of our global clients on the volumes for Givaudan . we've stripped out the main integration cost, but we will have other minor costs . the only thing that's not included in that is any significant movement in currencies . Fine Fragrances sales increased 10.7%, the third consecutive year of outstanding growth . high-growth markets are back to double-digit growth, making us the clear #1 in fine fragrances . there is not one single market part of Southeast Asia which is not growing . fragrances contributed strongly to the good results of our consumer products in the Fragrance division . the major mature market currencies in which the group operates were relatively stable against the Swiss franc in the first half of the year . working capital remained relatively flat despite higher inventory levels from Naturex . receivables and payables depends very much on the timing of there is not one single market part of Southeast Asia which is not growing . last year, citral cost us CHF 50 million, 2/3 in the first half, 1/3 in the second half . natural extracts contribute to taste and does a superb job on taste ."
Givaudan SA,2020,Unknown,"the transitions in EAME, North America and LatAm are now fully complete . on North America, we did well on the Fragrance side . fine fragrances saw an organic decline of minus 4% in the fourth quarter . acquisitions contributed over CHF 300 million . growth in Asia Pacific was 3.9% with double-digit growth in China . in 2019, we added close to CHF 680 million of sales and reached more than CHF 6.2 billion of sales . high-growth markets lived up to our expectation by further improving to double-digit growth . the Flavours division recorded a sales increase of 13.4% in Swiss francs . in 2020, we expect raw material prices to remain stable at the current levels . fine fragrances saw an organic decline of minus 4% in the fourth quarter . in the first half of 2020, we reached sales of CHF 3.2 billion . a $0.10 movement in the dollar, Swiss franc, is somewhere between 50 million and 60 million of absolute EBITDA on an annual basis . in 2020, the group continued to achieve productivity gains and demonstrate a strong cost discipline . the group also delivered on the final CHF 15 million of GBS savings . despite the ongoing crisis, the group continues to have a well-balanced debt portfolio . the pandemic is still very active in many parts of the globe and its potential economic consequences . ungerer is a very interesting asset because it's multifaceted . if we go back to a more normal world, our EBITDA margin is 100 bps lower . the Flavours division started to pick up an incremental better growth than IFF and Symrise . fine fragrances saw an organic decline of minus 4% in the fourth quarter ."
Givaudan SA,2021,Unknown,"b.kolor is a very interesting step into a category which is part of beauty . North America is also delivering an outstanding growth . Taste & Wellbeing sales were CHF 1.8 billion, an increase of 6.1% on a like-for-like basis . sales in Asia Pacific decreased by 1% on a like-for-like basis . Asia Pacific growth was 6.3% with double-digit growth in China . thanks for choosing Chorus Call, and thank you for participating . the COVID crisis had a significant impact on the less resilient part of the business . the company established a community fund to support local communities . we have doubled our business in sales of naturals to almost CHF 2 billion . the supply chain of Fine Fragrances is quite well managed . but i'm quite confident that we can come back to good growth in the Southeast Asia . in china, there's not such thing as taking share from Southeast Asia to explain China . one of the listed peers argued with the less selling days and not to disclose that . foodservice going down has an influence on the growth of the rest of the business . in 2021, the group continued to achieve productivity gains and demonstrate a strong cost discipline . free cash flow reached CHF 186 million, representing 5.5% of our sales, the same ratio as for the first half of 2020 . the company passed the 40 billion mark in terms of market cap . the so-called Texas freeze had an impact on us, and we were absolutely determined to continue to supply our customers . active beauty has renamed its segment fragrances as well . all of those ingredients are naturals, but made in a sustainable way . we'll have a hybrid half year conference on the 26th of august in Zurich . the company has access to most if not all fine fragrance beauty players ."
Givaudan SA,2022,Unknown,"taste & wellbeing recorded an outstanding sales increase of 7.6% on a like-for-like basis . sales in North America increased by 5.8%, driven by strong performance in the Beverages and Savoury segments . in 2021, we reached sales of CHF 6.7 billion, a growth of 7.1% on a like-for-like basis . in the first half of 2022, our sales reached 3.6 billion . strong demand in Fine Fragrances and foodservice fueled the strong recovery . sales in Southeast Asia, Africa and the Middle East increased by 6.1% . china and Malaysia delivered strong double-digit performance . in the current year, however, we see some relief with the development of the u.s. dollar and the British pound . the company's 2025 ambition is to deliver sustainable value creation for all stakeholders . Heidi Vesterinen with BNP Paribas asked if you could talk about the pluses and minuses of the 2022 margin . over the last 6, 7 years, we have made 3 main acquisitions . the raw materials we buy end up in very different applications . a virtual annual investor's conference will be held on the 12th of april . the group incurred CHF 4 million related to acquisition and restructuring costs . consumer products and active beauty represent 82% of Fragrance & Beauty . in the second quarter, local and regional clients have continued to outperform and now account for 56% of group sales . strong demand in Fine Fragrances and foodservice fueled the strong recovery in Europe . the markets of Asia, notably, Japan and Australia, remain affected by the pandemic . sales of Fragrance Ingredients and Active Beauty grew by 8% . on an EBITDA level, we continue to maintain a tight cost control on operating expenses . the group refinanced its multibank committed credit facility for an amount of CHF 1.25 billion for a period of 5 years . ""we have a very, almost strict view on whether to make an acquisition or not,"" he said . Fine Fragrances is in both prestige fine fragrances as well as mass market specialty retail fragrances . bank of america's fine fragrance business is growing very strongly . the business is expected to continue to grow over the next few years ."
Givaudan SA,2023,Unknown,"in North America, sales decreased by 6.4% after growing a strong 5.8% in 2021 . in North American, sales declined by 11.7% and in Latin America sales increased 10.5% . consumer demand, what's happening at the retail side, is more the bigger question . western Europe, Asia Pacific and Middle East grew strong double-digit sales, while North America declined mid-single digits . growth in Asia Pacific was strong despite COVID-19 impacting performance in China . the Middle East contributed with strong double-digit growth levels as well as Latin America . sales of Fragrance Ingredients and Active Beauty increased by 10.2% . growth in Asia Pacific was strong despite COVID-19 impacting performance in China . in the other division, in Fragrance & Beauty, sustainability is a key driver for creativity and innovation as well . this result includes the full year impact of DDW and Custom Essence, the 2 companies that we acquired in December 2021 . we see a 2- to 3-year journey in terms of recovery of what we would call our fair share of both gross margin and EBITDA margin . we have a large R&d facility in the u.k. in Ashford and about another CHF 10 million is currency . but local and regional clients are doing well, even though volumes are slightly down . the theme will be about local and régional clients . in the first half of '23, we reached sales of CHF 3.5 billion . myrissi is a new way of translating scents into color patterns . the only difference between CP and sale is you have an alternative to buying packaged food . fine fragrance expects a strong second half of the year . we'd like to know if customers may ask for pricing back in specific ingredients . the answer is ""yes,"" and we're not in any of that, but we are in a very buoyant world,"" he writes ."
Givaudan SA,2024,Unknown,"at the end of the year net debt was CHF 4.3 billion with a weighted average interest rate of 1.7% compared to 1.7% in 2022 . like-for-like sales remained solid for Europe with plus 3% and continue to be very strong in SAMEA . the board of directors will propose a 23rd consecutive dividend increase for shareholders . the like-for-like performance in North America was minus 6.8% for the full year . with the strengthening of the Swiss francs against all currencies, sales declined 2.8% in switzerland . sales continued to be good in Europe, South Asia, Middle East and Africa . the company is also expanding in the field of high value-added ingredients . active beauty is also a fantastic success story over the last few years . this year, we will break with tradition and will hold an investor event on the same day . active beauty is also a fantastic success story over the last few years . with the strengthening of the Swiss francs against all currencies, sales declined 2.8% in switzerland ."
McCormick  Company,2017,Q1,"sales across the consumer segment were up 2% over the year-ago period in constant currency . a slight increase in net income was offset mainly by the timing of income tax payments and incentive compensation payments . industrial business delivered solid sales growth from foodservice brands and customized flavors . A slight increase in net income was offset mainly by the timing of income tax payments and incentive compensation payments . about half of the reported private label growth is actually not true growth . the later Easter made all of Lent fall outside of the quarter . the broader center store is seeing some of that relative rebound from January and February . a modest increase in marketing spend in the first quarter, and we expect a greater increase . vanilla is grown over a 2- to 3-year cycle, so it doesn't have a quick bounce back like garlic . the issue in the U.K. really stems from the Aldis and the Lidls of the world . reiterating expectation of mid-single-digit increase in raw materials for 2017 . reaffirmation of expectation of high-speed rail to be completed by end of the year ."
McCormick  Company,2017,Q2,"in the Americas, we continue to benefit from shifting our portfolio to more value-added products . in the Asia/Pacific region, China grew sales in the second quarter of 2017 at a double-digit rate in constant currency . consumer sales in the Asia/Pacific region were up 15% in constant currency . we had double-digit growth in sales of savory flavor products and snack seasonings . there are no artificial flavors, no added MSG, they're gluten-free and are in BPA-free packaging . acquisitions, pricing taken in response to higher material costs contributed to the increase . despite unfavorable currency, income from unconsolidated operations rose 9% to $8.4 million . merger with amazon, wal-mart, h&m, sainsbury's . this is the first time you guys quantified the MGE program . sales growth, of course, is stronger in second half than in first . the biggest impact has been vanilla, where there's a well-recognized worldwide shortage of vanilla . apologies to the callers that we didn't get to today's call . the call was delayed by an hour and a half ."
McCormick  Company,2017,Q3,the cost of vanilla beans has moved from single digits per pound to well over $200 a pound . we see the opportunity to make Frank's redhot the #1 hot sauce in the world . RBFoods expects to deliver excellent fiscal year 2017 results . RB Foods completed an equity issuance prior to the closing . we expect to deleverage approximately 3x debt-to- EBITDA by the end of fiscal 2020 . interest expense is estimated to be favorable versus our original expectations . we're trying to get away from talking about a particular customer specifically on the call . the fact that we've got in there early with important ecommerce customers has given us a great partnership .
McCormick  Company,2018,Q1,"we grew sales 19%, with a 4% benefit from favorable foreign currency . both segments contributed double-digit adjusted operating income growth and a triple-digit expansion . despite being #1 in hot sauce, there remains significant upside for Frank's . with a stronger go-to-market model in foodservice, we're integrating the Frank's and French portfolio into the McCormick global network . a portion of the Flavor Solutions portfolio has really nice Consumer-like margins . a major customer's global realignment of our Flavor Solution sales impacted sales growth . our portfolio shift to more value-added products drove gross profit expansion . trade inventories did come down during the first quarter . versus actual consumption, it took up about half the growth that we would have otherwise seen . last year's mid-single-digit price increases really were driven by vanilla . private label performance versus branded performance is a negative for the business . one of the largest flavor and fragrance producers is buying natural-based ingredient company ."
McCormick  Company,2018,Q2,"the summer grilling season has just gotten started in the united states . we're seeing the same, if not better, performance in canada, where grilling is off to a strong start . interest expense increased $29 million in the second quarter from the year-ago period . in the Asia/Pacific region, flavors sales were down 2% . a focus on profit realization drove additional adjusted operating income growth . in the Americas, growth was particularly strong driven by the large impact of Frank's and French's . as of the end of may, Frank's distribution points in the west and mid-south increased by 8% . after years of declining distribution, we expect to lap the losses we inherited in the second half . we're launching our first choice advertising late in the third quarter in Europe . putting spices and seasonings into secondary locations isn't new . it's not abandonment of a central section for spices . in the rest of the zone, we were exiting some low-margin business . if there's a quantifiable drag on the top line, it's not material, but within our guidance . for French's and Frank's, this is the strongest start to the grilling season since competitive product was introduced . for us, the transition from entry-price point economy brand to private-label really wasn't a category devaluing event . private label manufacturing for herbs and spices might be part of the commercial strategy ."
McCormick  Company,2018,Q3,"in the Asia Pacific region, flavor solutions sales were down 1% constant currency, led by china-based business . the increase was driven by the favorable impact of higher sales, a shift to more value-added products and the impact of our CCI program . in the Americas, constant-currency sales growth of 19% was led by 14% from Frank's and French's . our adjusted operating income and more favorable tax rate drove this increase . consumer testing has been positive and retailer acceptance, strong . prepaid another $180 million on our term loan secured as part of the acquisition financing . we have now paid down over 1/3 of the term loan, bringing our total prepayments to $280 million in this fiscal year . year-to-date, there has been an acceleration of sales versus the previous owner . op margin continued to expand, and OP was down ."
McCormick  Company,2018,Q4,"consumer sales returned to growth in Europe, Middle East and Africa . our broad global flavor portfolio continues to drive growth and differentiate McCormick . in the Americas, we increased sales of snack seasonings and savory flavor products . a large retailer's decision to convert a control label to private label impacted growth . consumer sales returned to growth in Europe, Middle East and Africa . in 2017, we increased our capacity to support our growth in the Asia/Pacific zone . on a constant-currency basis, we grew sales 20% . our 2018 income tax rate will be significantly impacted by the new u.s. tax legislation . we saw an uptick in freight in the fourth quarter, especially due to carrier constraints . Kasey Jenkins is vice president of investor relations at mccormick.com . she is also the founder and managing director of a new investment firm ."
McCormick  Company,2019,Q1,"first quarter results were a great start to the year, delivering sales, operating income and earnings per share growth . the acquisition of Giotti gave us greater capabilities in the area of developing fresh and natural flavors in Europe . we again had strong growth in unmeasured channels including club, e-commerce and Hispanic retail chains . in the U.S., we're expanding our McCormick Gourmet line with premium salts and peppers . first quarter financial results were a great start to the year . consumer segment sales in the Americas rose 3% in constant currency versus the first quarter of 2018 . higher volume and product mix were driven by new products, distribution gains and promotional activities . consumers segment adjusted operating income rose to $135 million, flavor solutions rose to $64 million . foodservice portion of the china business is still rock solid . pepper and vanilla have come down, but freight costs have stabilized . ""we did have strong growth in some of our really quick service restaurant customers"""
McCormick  Company,2019,Q2,"consumer segment sales in the Americas rose 2% in constant currency versus the second quarter of 2018 . we're the market leader in the Grill Mates range . in the Asia/Pacific region, we built further momentum of Frank's and French's, particularly in China, India and Australia . a late Easter delayed the start of grilling season, tempered sales growth . gross profit margin increased 30 basis points year-on-year driven by CCI-led cost savings ."
McCormick  Company,2019,Q3,"we've got more financial flexibility now than we had a year ago . currency were down 1% in the third quarter versus the year-ago period . in the Asia/Pacific region, we grew constant currency sales 15%, led by China . our digital presence includes not only e-commerce but advertising as well . our digital leadership was recognized in 2019 by Gartner ."
